CEP,TOT_END,TOT_DP,TOT_TIPO_101,TOT_TIPO_102,TOT_TIPO_103,TOT_TIPO_104,TOT_DOM_COND,TOT_DC,TOT_EAGRO,TOT_EENSINO,TOT_ESAUDE,TOT_ERELIG,TOT_EOF,TOT_ECR,LOGRADOURO,BAIRRO
59025330,122,93,65,0,28,1,22,1,0,1,0,0,30,0,Rua Gonçalves Ledo,Cidade Alta
59025340,17,2,2,0,0,0,0,0,0,0,0,0,16,0,Rua Doutor José Ivo,Cidade Alta
59025350,21,10,10,0,0,0,0,0,0,0,0,0,10,1,Rua Padre João Manoel,Cidade Alta
59025360,59,52,43,0,1,8,0,0,0,0,0,0,7,1,Rua Gonçalves Dias,Cidade Alta
59025365,7,7,7,0,0,0,0,0,0,0,0,0,0,0,Travessa Gonçalves Dias,Cidade Alta
59025370,44,40,12,0,28,0,28,0,0,0,0,2,1,1,Rua Quintino Bocaiúva,Cidade Alta
59025380,27,27,6,0,0,21,0,0,0,0,0,0,0,0,Praça Dom Vital,Cidade Alta
59025390,94,86,51,3,2,30,0,0,0,0,0,1,8,1,Rua Paula Barros,Cidade Alta
59025400,641,207,81,1,123,2,105,0,0,0,1,3,426,10,Rua Princesa Isabel,Cidade Alta
59025410,57,51,46,5,0,0,0,0,0,0,0,0,6,1,Rua Presidente Passos,Cidade Alta
59025420,9,9,9,0,0,0,0,0,0,0,0,0,1,0,Travessa Ulisses Caldas,Cidade Alta
59025430,35,33,27,6,0,0,6,0,0,0,0,0,2,0,Rua João da Mata,Cidade Alta
59025440,70,59,19,0,40,0,38,0,0,0,0,0,10,2,Rua Passos da Pátria,Cidade Alta
59025450,67,57,48,0,9,0,0,0,0,1,0,0,12,1,Rua Ocidental de Baixo,Cidade Alta
59025460,17,14,2,7,5,0,12,0,0,0,0,0,3,0,Avenida Governador Walfredo Gurgel,Cidade Alta
59025470,84,80,63,9,8,0,16,0,0,0,0,0,3,1,Rua da Misericórdia,Cidade Alta
59025480,28,23,15,0,8,0,8,0,0,1,0,0,4,0,Praça João Tibúrcio,Cidade Alta
59025490,21,18,18,0,0,0,0,0,0,0,0,0,3,1,Rua das Laranjeiras,Cidade Alta
59025500,80,7,0,0,7,0,0,0,0,0,0,0,75,0,Rua João Pessoa,Cidade Alta
59025510,3,3,3,0,0,0,0,0,0,0,0,0,0,0,Praça Senador Guerra,Cidade Alta
59025520,190,160,130,12,18,0,27,0,0,0,0,2,26,9,Rua Santo Antônio,Cidade Alta
59025530,133,113,77,12,17,8,22,1,0,0,0,1,18,1,Rua Voluntários da Pátria,Cidade Alta
59025540,11,7,6,0,0,1,0,0,0,0,0,0,4,0,Rua Expedicionário Rodoval Cabral,Cidade Alta
59025550,14,13,12,0,0,2,0,1,0,0,0,0,0,0,Praça Coronel Lins Caldas,Cidade Alta
59025560,2,2,2,0,0,0,0,0,0,0,0,0,0,0,Travessa Coronel Bonifácio,Cidade Alta
59025570,19,18,11,2,5,0,6,0,0,0,0,0,2,0,Rua Antônio Pegado,Cidade Alta
59025580,35,19,12,0,0,7,0,0,0,1,0,0,17,0,Praça André de Albuquerque,Cidade Alta
59025590,20,15,15,0,0,0,0,0,0,0,0,0,6,0,Avenida Governador Rafael Fernandes,Cidade Alta
59025600,299,211,36,14,158,4,163,1,0,6,5,2,78,2,Avenida Deodoro da Fonseca,Cidade Alta
59025610,133,122,49,5,68,0,67,0,0,1,0,0,9,2,Rua Padre Pinto,Cidade Alta
59025620,68,56,50,5,1,0,0,0,0,0,0,1,10,2,Rua Pitimbu,Cidade Alta
59025720,12,12,10,2,0,0,0,0,0,0,0,0,0,0,Travessa Potengi,Cidade Alta
59025730,80,71,68,3,0,0,0,0,0,0,0,2,7,3,Rua Nossa Senhora da Paz,Cidade Alta
59025733,43,41,41,0,0,0,0,0,0,0,0,0,1,1,Rua Santo Afonso,Cidade Alta
59025735,31,31,28,3,0,0,0,0,0,0,0,0,0,0,Travessa Santo Afonso,Cidade Alta
59025740,89,83,77,1,5,0,0,0,0,0,0,0,7,1,Rua das Árvores,Cidade Alta
59025743,13,11,11,0,0,0,0,0,0,0,0,0,2,0,Travessa Nossa Senhora dos Navegantes,Cidade Alta
59025745,33,26,25,0,1,0,0,0,0,0,0,0,5,2,Rua São Félix,Cidade Alta
59025747,80,74,63,9,2,0,0,0,0,0,0,0,8,2,Rua Trampolim da Vitória,Cidade Alta
59025750,40,36,36,0,0,0,0,0,0,0,0,0,6,0,Rua Nossa Senhora Aparecida,Cidade Alta
59025751,47,47,46,1,0,0,0,0,0,0,0,0,1,0,Travessa Nossa Senhora Aparecida,Cidade Alta
59025755,22,20,20,0,0,0,0,0,0,0,0,0,0,2,Largo São Francisco,Cidade Alta
59025760,10,10,10,0,0,0,0,0,0,0,0,0,0,0,Travessa Nossa Senhora de Fátima,Cidade Alta
59025762,49,45,45,0,0,0,0,0,0,0,0,0,2,2,Rua Humaitá,Cidade Alta
59025763,12,12,12,0,0,0,0,0,0,0,0,0,0,0,Rua Avaí,Cidade Alta
59025765,6,5,5,0,0,0,0,0,0,0,0,0,0,1,Rua da Rio Prata,Cidade Alta
59025766,47,46,46,0,0,0,0,0,0,0,0,0,5,0,Rua Beira Canal,Cidade Alta
59025770,7,5,5,0,0,0,0,0,0,0,0,1,1,0,Travessa Coração de Jesus,Cidade Alta
59025780,8,7,7,0,0,0,0,0,0,0,0,0,0,1,Travessa Itajaí,Cidade Alta
59025790,22,22,22,0,0,0,0,0,0,0,0,0,2,0,Travessa Recanto do Sol,Cidade Alta
59025800,8,8,8,0,0,0,0,0,0,0,0,0,0,0,Largo do Porto,Cidade Alta
59040080,174,165,151,13,1,0,0,0,0,0,0,0,9,3,Rua Ocidental de Baixo,Alecrim
59114088,57,52,50,0,2,0,0,0,0,0,0,0,5,4,Rua das Laranjeiras,Nossa Senhora da Apresentação
